time,gFx,gFy,gFz,TgF
3.568005305,0.0412,-0.0046,1.0470,1.048
3.577623536,0.0335,-0.0070,1.0370,1.038
3.587988074,0.0425,0.0081,1.0429,1.044
3.597757882,0.0407,0.0112,1.0291,1.030
3.614054036,0.0377,-0.0020,1.0179,1.019
3.618010997,0.0290,-0.0057,1.0170,1.017
3.647591882,0.0307,-0.0111,1.0178,1.018
3.649174074,0.0214,-0.0271,1.0111,1.012
3.649954151,0.0217,-0.0193,1.0153,1.016
3.66203392,0.0316,-0.0125,1.0223,1.023
3.667833574,0.0300,-0.0131,1.0210,1.021
3.677864189,0.0364,0.0042,1.0256,1.026
3.688385151,0.0366,0.0076,1.0156,1.016
3.697881497,0.0315,-0.0009,1.0142,1.015
3.716643882,0.0198,-0.0129,0.9897,0.990
3.718466843,0.0304,-0.0095,1.0161,1.017
3.757549151,0.0187,-0.0226,1.0238,1.024
3.758927382,0.0270,-0.0203,1.0255,1.026
3.759773382,0.0326,-0.0070,1.0328,1.033
3.760581689,0.0332,-0.0103,1.0260,1.027
3.767944228,0.0366,0.0013,1.0235,1.024
3.77782192,0.0415,0.0106,1.0213,1.022
3.788257958,0.0341,-0.0016,1.0072,1.008
3.797698805,0.0243,-0.0075,1.0063,1.007
3.812943228,0.0368,-0.0048,1.0258,1.027
3.817717843,0.0318,-0.0193,1.0284,1.029
3.831654497,0.0281,-0.0195,1.0298,1.030
3.837775035,0.0410,-0.0071,1.0404,1.041
3.847636228,0.0362,-0.0077,1.0390,1.040
3.860360843,0.0474,0.0067,1.0523,1.053
3.867672266,0.0305,0.0027,1.0063,1.007
3.877562266,0.0308,-0.0029,1.0089,1.009
3.888195958,0.0329,-0.0087,1.0169,1.017
3.898092074,0.0374,-0.0060,1.0252,1.026
3.919565266,0.0217,-0.0253,1.0032,1.004
3.921555689,0.0247,-0.0249,1.0170,1.018
3.961362266,0.0164,-0.0133,1.0045,1.005
3.962563151,0.0376,-0.0093,1.0250,1.026
3.963473228,0.0314,-0.0009,1.0256,1.026
3.964194228,0.0280,0.0016,1.0035,1.004
3.968028497,0.0311,-0.0033,1.0047,1.005
3.977970535,0.0319,-0.0060,1.0190,1.020
3.988054535,0.0352,-0.0079,1.0189,1.020
3.998017151,0.0446,-0.0147,1.0428,1.044
4.01434792,0.0217,-0.0254,1.0166,1.017
4.017889997,0.0326,-0.0111,1.0213,1.022
4.039641112,0.0436,-0.0039,1.0500,1.051
4.041146535,0.0454,0.0061,1.0467,1.048
4.047542651,0.0324,0.0034,1.0113,1.012
4.058493458,0.0401,0.0057,1.0278,1.029
4.067667228,0.0375,-0.0064,1.0269,1.028
4.077662612,0.0352,-0.0059,1.0208,1.021
4.087797497,0.0298,-0.0187,1.0235,1.024
4.098439958,0.0210,-0.0282,1.0148,1.015
4.119815574,0.0118,-0.0188,0.9943,0.995
4.121876343,0.0272,-0.0143,1.0129,1.013
4.153203151,0.0322,-0.0028,1.0249,1.025
4.154408227,0.0436,0.0107,1.0392,1.040
4.155286381,0.0417,0.0050,1.0298,1.031
4.168109035,0.0244,-0.0086,1.0054,1.006
4.169450535,0.0352,-0.0065,1.0238,1.024
